Record_ID,Country,ISO_Code,Join_Year,Founding_Member,Nuclear_Sharing,Region,Capital,Equipment_Type,Equipment_Category,Domain,Notable_Models,Units_Count,Operational_Status,Condition,Year_Acquired,Equipment_Age_Years,Unit_Cost_M_USD,Total_Value_M_USD,Country_of_Origin,NATO_Standardized,Interoperable,Last_Maintenance_Year,Next_Upgrade_Due,Combat_Ready_Pct
1,Albania,ALB,2009,No,No,Southern Europe,Tirana,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,1092,In Maintenance,Good,2017,7,355.4,388096.8,Multi-National,Partial,Yes,2022,2030,49.8
2,Albania,ALB,2009,No,No,Southern Europe,Tirana,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,165,Reserve,Needs Repair,2019,5,84.38,13922.7,Germany,No,No,2020,2033,50.3
3,Albania,ALB,2009,No,No,Southern Europe,Tirana,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,1939,In Maintenance,Fair,2016,8,390.82,757799.98,Multi-National,Partial,No,2017,2027,91.5
4,Albania,ALB,2009,No,No,Southern Europe,Tirana,Tanker Aircraft,Air Force,Air,KC-135 / A330 MRTT,1926,Upgrading,Fair,2012,12,252.19,485717.94,Italy,Yes,No,2020,2028,97.3
5,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,666,Upgrading,Fair,2009,15,274.64,182910.24,UK,Yes,Yes,2015,2028,77.6
6,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,247,Operational,Needs Repair,2011,13,416.88,102969.36,Turkey,Yes,Yes,2014,2032,89.9
7,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,685,Operational,Excellent,2016,8,121.48,83213.8,Italy,Yes,No,2020,2025,59.5
8,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Personnel Carrier,Armored,Land,M113 / Boxer / BTR-80,931,Reserve,Good,2012,12,147.38,137210.78,USA,Yes,Yes,2017,2033,93.1
9,Albania,ALB,2009,No,No,Southern Europe,Tirana,Logistics Truck (Heavy),Logistics,Support,HEMTT / MAN HX,976,Upgrading,Needs Repair,2012,12,107.55,104968.8,Italy,Yes,Yes,2021,2028,97.1
10,Albania,ALB,2009,No,No,Southern Europe,Tirana,Logistics Truck (Heavy),Logistics,Support,HEMTT / MAN HX,308,Operational,Excellent,2012,12,127.92,39399.36,Italy,Yes,No,2018,2033,71.7
11,Albania,ALB,2009,No,No,Southern Europe,Tirana,Logistics Truck (Heavy),Logistics,Support,HEMTT / MAN HX,251,Decommissioning,Good,2024,0,252.89,63475.39,Turkey,Yes,No,2024,2026,54.1
12,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,1080,In Maintenance,Fair,2020,4,181.29,195793.2,Multi-National,No,No,2020,2029,91.8
13,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,1197,Upgrading,End-of-Life,2022,2,356.64,426898.08,Turkey,No,No,2022,2026,69.5
14,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,693,On Order,Fair,2019,5,442.43,306603.99,Multi-National,Partial,No,2024,2033,65.3
15,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Bomber,Air Force,Air,B-52 / B-2 Spirit,746,Decommissioning,Fair,2019,5,354.53,264479.38,Germany,Partial,Yes,2021,2033,94.5
16,Albania,ALB,2009,No,No,Southern Europe,Tirana,Light Tank,Armored,Land,CV90105 / AMX-10RC,1665,Operational,Good,2022,2,443.43,738310.95,Domestic,Yes,Yes,2022,2028,62.3
