Record_ID,Mission_Name,Mission_Type,Lead_Country,Lead_ISO_Code,Lead_Country_Region,Operation_Location,Operation_Region,Threat_Level,Command_HQ,Operation_Start_Year,Operation_End_Year,Duration_Years,Mission_Phase,Troops_Deployed,Air_Assets_Deployed,Naval_Assets_Deployed,Casualties,Casualties_Rate_Pct,Mission_Cost_M_USD,Cost_Per_Soldier_USD,Contributing_Countries_Count,NATO_Led,UN_Mandate,Mission_Outcome,Mission_Status,Classification,Media_Coverage,Public_Support_Pct,After_Action_Report
1,Operation Eagle Eye 00001,Logistics Support,Poland,POL,Central Europe,Barents Sea,Arctic,Medium,AIRCOM,1987,1996,9,Execution,3376,156,23,46,1.363,7141.34,2115325.83,31,Yes,No,Inconclusive,Suspended,NATO Confidential,High,90.6,Pending
2,Operation Loyal Leda 00002,Cyber Defense,Finland,FIN,Northern Europe,Indian Ocean,Asia,Low,ACO Mons,2017,2024,7,Execution,43043,34,8,1460,3.392,4818.84,111954.09,24,Yes,Yes,Mission Accomplished,On Hold,NATO Confidential,Minimal,33.6,Classified
3,Operation Glacier Watch 00003,Combat,Lithuania,LTU,Northern Europe,Syria,Middle East,High,MARCOM,1999,2001,2,Completed,62253,67,14,24,0.039,7933.54,127440.28,27,Joint UN-NATO,Yes,Mission Accomplished,Suspended,NATO Restricted,High,51.5,N/A
4,Operation Eagle Eye 00004,Combat,Lithuania,LTU,Northern Europe,Eastern Europe,Europe,Medium,AIRCOM,1990,2003,13,Planning,26393,114,43,156,0.591,9066.12,343504.72,10,Yes,No,Suspended,Completed,NATO Secret,Low,91.8,Pending
5,Operation Noble Jump 00005,CBRN Response,United Kingdom,GBR,Western Europe,Western Balkans,Europe,Low,AIRCOM,2017,2024,7,Execution,10708,162,2,218,2.036,8536.1,797170.34,18,Yes,Yes,Inconclusive,On Hold,NATO Secret,Low,66.4,N/A
6,Operation Noble Jump 00006,Cyber Defense,United Kingdom,GBR,Western Europe,Libya,Africa,High,LANDCOM,2006,2023,17,Planning,42378,122,43,600,1.416,3816.91,90068.2,11,No,Yes,Inconclusive,On Hold,NATO Confidential,Low,59.8,Classified
7,Operation Adriatic Strike 00007,Search and Rescue,Portugal,PRT,Western Europe,Indian Ocean,Asia,Low,JFC Naples,2002,2012,10,Planning,30411,93,19,341,1.121,10242.56,336804.45,24,Joint UN-NATO,No,Transitioned to UN,Suspended,NATO Restricted,Minimal,52.7,Published
8,Operation Ramstein Guard 00008,Reconnaissance,Romania,ROU,Eastern Europe,Lebanon,Middle East,Medium,LANDCOM,1969,1982,13,Transition,52603,94,8,332,0.631,6478.21,123152.86,28,Yes,Yes,Successful,Transitioned,NATO Confidential,Low,48.7,Published
9,Operation Aegis Guard 00009,Intelligence Gathering,Slovenia,SVN,Southern Europe,Persian Gulf,Middle East,Medium,LANDCOM,1954,1967,13,Execution,52718,41,15,1265,2.4,6769.74,128414.2,8,No,Yes,Inconclusive,Transitioned,NATO Restricted,Medium,36.3,Published
10,Operation Swift Response 00010,Air Policing,France,FRA,Western Europe,Barents Sea,Arctic,Medium,JFC Brunssum,1994,2004,10,Completed,67056,42,32,1329,1.982,11172.6,166615.96,23,Yes,No,Transitioned to UN,Concluded,NATO Confidential,Medium,38.6,N/A
11,Operation Resolute Support 00011,Training Exercise,Belgium,BEL,Western Europe,Kosovo,Europe,Medium,AIRCOM,1951,1956,5,Drawdown,70426,52,10,337,0.479,1.94,27.55,2,No,Yes,Mission Accomplished,Transitioned,Unclassified,Minimal,77.3,Pending
12,Operation Resolute Support 00012,Training Exercise,France,FRA,Western Europe,Ukraine Border,Europe,High,STRIKFORNATO,2012,2024,12,Deployment,54312,187,38,1415,2.605,42.7,786.2,29,No,Yes,Partially Successful,Active,NATO Restricted,High,46.0,Classified
13,Operation Rapid Falcon 00013,Maritime Security,North Macedonia,MKD,Southern Europe,Horn of Africa,Africa,Medium,AIRCOM,2023,2024,1,Planning,63115,101,47,299,0.474,11507.46,182325.28,16,No,Yes,Withdrawn,Active,NATO Restricted,Medium,58.2,Published
14,Operation Baltic Eagle 00014,Combat,United Kingdom,GBR,Western Europe,Caucasus Region,Asia,High,AIRCOM,1954,1958,4,Planning,57528,75,19,1888,3.282,9054.16,157387.01,31,Joint UN-NATO,Yes,Withdrawn,Transitioned,NATO Secret,Low,61.4,N/A
15,Operation Viking 00015,Disaster Relief,Türkiye,TUR,Southern Europe,Afghanistan,Asia,High,MARCOM,2019,2024,5,Completed,12523,56,7,475,3.793,1584.78,126549.55,8,Yes,No,Mission Accomplished,Concluded,NATO Restricted,High,80.3,Pending
16,Operation Eagle Eye 00016,Peacekeeping,Italy,ITA,Southern Europe,Lebanon,Middle East,Medium,AIRCOM,2006,2018,12,Completed,13758,143,46,305,2.217,1277.8,92876.87,10,No,Yes,Completed,Transitioned,NATO Secret,Medium,88.6,Classified
17,Operation Silver Lance 00017,Ballistic Missile Defense,Bulgaria,BGR,Eastern Europe,Ukraine Border,Europe,High,ACO Mons,1969,1986,17,Execution,38043,199,26,1424,3.743,7492.87,196957.92,28,No,No,Successful,Completed,NATO Restricted,High,67.4,Published
18,Operation Swift Response 00018,Reconnaissance,North Macedonia,MKD,Southern Europe,Somalia,Africa,Medium,AIRCOM,1973,1984,11,Execution,47934,198,36,484,1.01,11325.15,236265.49,4,No,No,Successful,Suspended,NATO Confidential,Low,46.0,Published
19,Operation Swift Response 00019,Disaster Relief,Croatia,HRV,Southern Europe,Somalia,Africa,Medium,LANDCOM,1949,1954,5,Planning,4975,139,42,163,3.276,9134.48,1836076.38,18,Joint UN-NATO,No,Partially Successful,Active,NATO Secret,High,81.0,Classified
20,Operation Eagle Eye 00020,Counter-Terrorism,Albania,ALB,Southern Europe,Iraq,Middle East,High,SHAPE Belgium,1953,1963,10,Planning,53428,36,5,1987,3.719,7305.21,136729.99,13,Joint UN-NATO,No,Inconclusive,Concluded,NATO Confidential,Low,32.6,Pending
21,Operation Active Endeavour 00021,Naval Patrol,Romania,ROU,Eastern Europe,Persian Gulf,Middle East,Medium,STRIKFORNATO,1967,1973,6,Execution,21728,164,20,632,2.909,662.36,30484.17,25,Yes,No,Partially Successful,Completed,NATO Confidential,Minimal,55.8,Classified
22,Operation Desert Falcon 00022,Maritime Security,Slovenia,SVN,Southern Europe,Persian Gulf,Middle East,Medium,LANDCOM,2022,2024,2,Deployment,61080,173,33,37,0.061,9998.56,163696.14,10,Joint UN-NATO,Yes,Suspended,On Hold,NATO Restricted,Low,25.9,Pending
23,Operation Blue Flag 00023,Counter-Terrorism,Netherlands,NLD,Western Europe,Kosovo,Europe,Medium,LANDCOM,2008,2024,16,Drawdown,3091,178,0,5,0.162,3674.37,1188731.8,8,Yes,No,Completed,Active,NATO Confidential,Low,35.4,Classified
24,Operation Arctic Fox 00024,Logistics Support,Italy,ITA,Southern Europe,Baltic Sea,Europe,Low,STRIKFORNATO,1968,1981,13,Transition,21190,200,13,130,0.613,4047.94,191030.67,15,Yes,No,Completed,Planned,NATO Restricted,Medium,81.7,Published
25,Operation Swift Response 00025,Naval Patrol,Spain,ESP,Western Europe,Mediterranean Sea,Europe,Low,STRIKFORNATO,2010,2022,12,Planning,3966,154,20,63,1.589,6363.0,1604387.29,27,Joint UN-NATO,No,Ongoing,Completed,NATO Restricted,Minimal,27.6,Published
26,Operation Sea Guardian 00026,Peacekeeping,Luxembourg,LUX,Western Europe,Mediterranean Sea,Europe,Low,ACO Mons,1976,1983,7,Execution,4749,138,3,93,1.958,9162.17,1929284.06,20,Yes,No,Successful,Completed,NATO Secret,Minimal,56.3,N/A
27,Operation Rapid Falcon 00027,Disaster Relief,Netherlands,NLD,Western Europe,North Sea,Europe,Low,MARCOM,1968,1974,6,Drawdown,46127,99,33,379,0.822,10194.36,221006.35,16,No,No,Transitioned to UN,On Hold,NATO Confidential,Low,89.8,Classified
28,Operation Mountain Shield 00028,CBRN Response,Belgium,BEL,Western Europe,Arctic Region,Arctic,Medium,LANDCOM,1960,1980,20,Execution,27599,181,26,299,1.083,9644.76,349460.49,6,Joint UN-NATO,No,Ongoing,On Hold,NATO Restricted,Medium,26.5,N/A
29,Operation Southern Watch 00029,Reconnaissance,Hungary,HUN,Central Europe,Bosnia,Europe,Low,JFC Brunssum,2014,2018,4,Completed,36043,176,18,1247,3.46,6570.32,182291.15,4,Yes,Yes,Suspended,Concluded,NATO Secret,Minimal,64.8,Published
30,Operation Steadfast Jazz 00030,Intelligence Gathering,Montenegro,MNE,Southern Europe,Kosovo,Europe,Medium,ACO Mons,1980,1997,17,Planning,50283,37,48,1456,2.896,11583.76,230371.3,14,No,No,Suspended,Active,NATO Restricted,Minimal,34.4,Pending
31,Operation Iron Spear 00031,Amphibious Exercise,Spain,ESP,Western Europe,Barents Sea,Arctic,Medium,LANDCOM,1976,1978,2,Drawdown,56991,130,9,1311,2.3,11717.79,205607.73,13,No,No,Transitioned to UN,On Hold,Unclassified,Low,68.7,N/A
32,Operation Saber Strike 00032,Peacekeeping,Latvia,LVA,Northern Europe,Barents Sea,Arctic,Medium,STRIKFORNATO,2011,2024,13,Completed,42084,68,42,1080,2.566,11171.24,265451.0,31,Yes,Yes,Transitioned to UN,Transitioned,NATO Secret,Minimal,28.2,Published
33,Operation Arctic Fox 00033,Disaster Relief,North Macedonia,MKD,Southern Europe,Afghanistan,Asia,High,SHAPE Belgium,1999,2002,3,Drawdown,13045,93,6,355,2.721,11372.1,871759.29,13,No,Yes,Inconclusive,Transitioned,NATO Secret,Minimal,83.8,Published
34,Operation Rapid Falcon 00034,Search and Rescue,Belgium,BEL,Western Europe,North Sea,Europe,Low,LANDCOM,1957,1973,16,Planning,9475,32,37,375,3.958,6033.81,636813.72,28,Yes,Yes,Transitioned to UN,Transitioned,NATO Restricted,High,45.6,N/A
35,Operation Cold Response 00035,Intelligence Gathering,Canada,CAN,North America,Bosnia,Europe,Low,AIRCOM,1998,2000,2,Transition,49108,199,6,1308,2.664,10516.48,214150.04,4,No,No,Successful,Suspended,NATO Confidential,Medium,44.0,Classified
36,Operation Vigilant Skies 00036,Search and Rescue,Finland,FIN,Northern Europe,Indian Ocean,Asia,Low,JFC Brunssum,1957,1977,20,Completed,39026,187,0,1454,3.726,5370.32,137608.77,20,Yes,Yes,Mission Accomplished,Planned,Unclassified,High,87.7,N/A
37,Operation Dynamic Manta 00037,Counter-Terrorism,Sweden,SWE,Northern Europe,Arctic Region,Arctic,Medium,STRIKFORNATO,1995,2015,20,Transition,18411,9,12,123,0.668,11260.0,611590.9,9,Joint UN-NATO,Yes,Suspended,Concluded,NATO Confidential,Medium,91.6,Published
38,Operation Silver Lance 00038,Counter-Terrorism,Czech Republic,CZE,Central Europe,Caucasus Region,Asia,High,AIRCOM,1956,1965,9,Completed,51836,18,33,858,1.655,9250.46,178456.29,4,No,Yes,Partially Successful,Transitioned,NATO Secret,Medium,45.2,Pending
39,Operation Adriatic Strike 00039,Logistics Support,Hungary,HUN,Central Europe,Syria,Middle East,High,LANDCOM,1962,1980,18,Planning,14022,91,18,227,1.619,11669.37,832218.66,6,Joint UN-NATO,No,Completed,Suspended,Unclassified,Medium,45.8,Published
40,Operation Thunder Wolf 00040,Intelligence Gathering,Albania,ALB,Southern Europe,Persian Gulf,Middle East,Medium,JFC Brunssum,2006,2020,14,Completed,33362,174,24,988,2.961,1315.27,39424.2,19,Joint UN-NATO,No,Completed,Concluded,Unclassified,Medium,26.3,Pending
41,Operation Saber Strike 00041,Logistics Support,Albania,ALB,Southern Europe,Eastern Europe,Europe,Medium,MARCOM,2008,2013,5,Completed,3004,136,16,104,3.462,9926.08,3304287.62,26,Joint UN-NATO,No,Suspended,Transitioned,NATO Confidential,High,32.7,Classified
42,Operation Silver Lance 00042,CBRN Response,Albania,ALB,Southern Europe,Ukraine Border,Europe,High,MARCOM,1965,1969,4,Deployment,72664,124,8,222,0.306,5082.98,69951.83,15,No,Yes,Withdrawn,Suspended,NATO Confidential,Low,84.0,Published
43,Operation Active Endeavour 00043,Combat,Sweden,SWE,Northern Europe,Ukraine Border,Europe,High,ACO Mons,2011,2021,10,Planning,18890,194,35,66,0.349,8790.94,465375.33,2,No,Yes,Withdrawn,Suspended,NATO Restricted,Minimal,27.4,Pending
44,Operation Cold Response 00044,Disaster Relief,Poland,POL,Central Europe,Horn of Africa,Africa,Medium,STRIKFORNATO,1983,1989,6,Transition,30074,53,44,942,3.132,11801.51,392415.71,12,No,Yes,Withdrawn,Transitioned,NATO Secret,Medium,31.9,Pending
45,Operation Dynamic Front 00045,Air Policing,Belgium,BEL,Western Europe,Arctic Region,Arctic,Medium,SHAPE Belgium,1972,1978,6,Deployment,58676,163,37,1826,3.112,3139.06,53498.19,14,Yes,No,Mission Accomplished,On Hold,Unclassified,Medium,86.8,Published
46,Operation Thunder Wolf 00046,Ballistic Missile Defense,United States,USA,North America,Aegean Sea,Europe,Low,JFC Brunssum,1991,1996,5,Completed,21369,174,40,186,0.87,9463.24,442848.99,29,Yes,Yes,Withdrawn,Completed,NATO Restricted,Medium,67.6,Pending
47,Operation Unified Protector 00047,Combat,Italy,ITA,Southern Europe,Baltic Sea,Europe,Low,SHAPE Belgium,2018,2024,6,Planning,27681,53,22,617,2.229,4475.54,161682.74,26,Yes,Yes,Suspended,Planned,NATO Secret,Medium,59.1,N/A
48,Operation Dawn Patrol 00048,Naval Patrol,Luxembourg,LUX,Western Europe,Western Balkans,Europe,Low,JFC Naples,1973,1987,14,Transition,44460,77,39,1039,2.337,4503.37,101290.37,21,Joint UN-NATO,No,Inconclusive,Planned,NATO Confidential,High,80.5,Pending
49,Operation Aurora Borealis 00049,Disaster Relief,North Macedonia,MKD,Southern Europe,Sahel Region,Africa,High,STRIKFORNATO,1980,1986,6,Deployment,51151,80,37,1019,1.992,5968.14,116676.9,17,Joint UN-NATO,Yes,Partially Successful,Transitioned,NATO Secret,High,48.6,N/A
50,Operation Vigilant Skies 00050,Air Policing,Netherlands,NLD,Western Europe,Black Sea,Europe,Medium,JFC Naples,1972,1989,17,Drawdown,4596,66,46,154,3.351,981.03,213453.0,12,Joint UN-NATO,Yes,Withdrawn,Transitioned,NATO Secret,Minimal,20.4,Pending
51,Operation Ocean Shield 00051,Intelligence Gathering,Estonia,EST,Northern Europe,Red Sea,Middle East,Medium,MARCOM,1958,1967,9,Planning,4192,126,25,109,2.6,4455.26,1062800.57,10,Yes,No,Mission Accomplished,Planned,NATO Confidential,High,53.0,Classified
52,Operation Steel Horizon 00052,Humanitarian Aid,Latvia,LVA,Northern Europe,Baltic Sea,Europe,Low,MARCOM,1982,1994,12,Drawdown,54212,56,19,672,1.24,9858.52,181851.25,8,No,Yes,Suspended,Planned,NATO Restricted,Medium,70.8,Classified
53,Operation Southern Watch 00053,Logistics Support,Slovakia,SVK,Central Europe,Aegean Sea,Europe,Low,AIRCOM,1953,1964,11,Planning,74442,93,42,1748,2.348,5369.92,72135.62,25,Yes,No,Inconclusive,Planned,NATO Restricted,Medium,75.7,Pending
54,Operation Swift Response 00054,Humanitarian Aid,Romania,ROU,Eastern Europe,North Atlantic,Atlantic,Low,JFC Brunssum,2011,2024,13,Execution,50441,52,32,1190,2.359,8783.92,174142.46,26,Joint UN-NATO,Yes,Partially Successful,On Hold,NATO Confidential,Medium,86.7,Classified
55,Operation Cobra Gold 00055,Disaster Relief,Germany,DEU,Western Europe,Barents Sea,Arctic,Medium,AIRCOM,1955,1972,17,Drawdown,29500,179,25,172,0.583,9126.65,309377.97,4,Joint UN-NATO,No,Withdrawn,On Hold,NATO Secret,Minimal,80.0,N/A
56,Operation Noble Jump 00056,Counter-Terrorism,Türkiye,TUR,Southern Europe,Afghanistan,Asia,High,JFC Brunssum,1957,1975,18,Drawdown,11408,64,7,49,0.43,4847.39,424911.47,10,Joint UN-NATO,No,Partially Successful,Transitioned,NATO Secret,High,71.4,Pending
57,Operation Saber Strike 00057,Search and Rescue,Türkiye,TUR,Southern Europe,Red Sea,Middle East,Medium,STRIKFORNATO,1983,1984,1,Completed,46022,16,37,1539,3.344,3262.76,70895.66,20,Joint UN-NATO,No,Partially Successful,On Hold,Unclassified,Minimal,40.8,N/A
58,Operation Iron Resolve 00058,Logistics Support,France,FRA,Western Europe,Somalia,Africa,Medium,MARCOM,2005,2015,10,Transition,3778,42,33,75,1.985,4294.81,1136794.6,7,Joint UN-NATO,Yes,Mission Accomplished,Completed,Unclassified,High,73.5,Pending
59,Operation Silver Lance 00059,Intelligence Gathering,Czech Republic,CZE,Central Europe,Black Sea,Europe,Medium,STRIKFORNATO,2020,2024,4,Drawdown,15330,149,11,37,0.241,355.48,23188.52,22,Yes,Yes,Ongoing,Transitioned,NATO Confidential,Low,68.1,N/A
60,Operation Steadfast Jazz 00060,Special Operations,Italy,ITA,Southern Europe,Caucasus Region,Asia,High,LANDCOM,1961,1972,11,Planning,6942,111,27,262,3.774,856.01,123308.84,19,No,Yes,Suspended,On Hold,NATO Secret,High,90.0,Pending
61,Operation Steadfast Defender 00061,Combat,Romania,ROU,Eastern Europe,Lebanon,Middle East,Medium,STRIKFORNATO,1983,1988,5,Transition,69287,145,32,650,0.938,2666.96,38491.49,13,Joint UN-NATO,No,Transitioned to UN,Transitioned,Unclassified,Minimal,40.3,Pending
62,Operation Eagle Eye 00062,Cyber Defense,France,FRA,Western Europe,Libya,Africa,High,LANDCOM,1979,1989,10,Planning,74693,164,13,1554,2.081,419.67,5618.6,21,Joint UN-NATO,No,Ongoing,Concluded,NATO Restricted,Medium,44.1,N/A
63,Operation Steadfast Defender 00063,Maritime Security,Czech Republic,CZE,Central Europe,Ukraine Border,Europe,High,JFC Naples,1963,1971,8,Drawdown,67980,82,30,2186,3.216,5691.01,83715.95,24,Yes,No,Mission Accomplished,Planned,NATO Confidential,Low,56.3,Published
64,Operation Viking 00064,Combat,Spain,ESP,Western Europe,Western Balkans,Europe,Low,ACO Mons,1981,1995,14,Transition,15498,71,32,273,1.762,4504.46,290647.83,21,Joint UN-NATO,No,Transitioned to UN,Planned,Unclassified,High,51.3,N/A
65,Operation Pacific Watch 00065,Disaster Relief,Slovenia,SVN,Southern Europe,Eastern Europe,Europe,Medium,LANDCOM,2007,2022,15,Execution,69087,35,19,2471,3.577,3995.6,57834.32,25,Yes,Yes,Successful,Active,NATO Secret,High,83.0,Classified
66,Operation Unified Protector 00066,Special Operations,Belgium,BEL,Western Europe,Sahel Region,Africa,High,STRIKFORNATO,1980,1998,18,Deployment,52095,112,41,457,0.877,7588.76,145671.56,25,Joint UN-NATO,Yes,Transitioned to UN,Transitioned,NATO Restricted,Minimal,73.0,Published
